case_id,message,label
980,"I’m overwhelmed by a deep sadness during my commute at my desk after I felt left out of a conversation that mattered to me, even if it took longer than planned. I spoke with my teammate and my chest felt tight and motivation slipped through my fingers, in a way that felt calm and confident. For now, I’m focusing on breathing and taking the smallest next step.",very_sad
442,"I feel unbelievably thankful over lunch in a shared workspace after I cooked a complicated recipe that actually turned out amazing, while keeping my priorities clear. I spoke with a mentor and i caught myself smiling for no reason again and again, though I still see room to grow. Right now, it feels like anything is possible, and I’m so grateful for it.",very_happy
337,"I can’t stop grinning during my commute at my desk after I reconnected with someone important and we laughed for hours, while keeping my priorities clear. I spoke with a mentor and there was a contagious brightness in everything i touched, in a way that felt calm and confident. It’s rare to feel this light, and I’m savoring every second.",very_happy
369,"I’m mildly unsettled during my commute at the park after I reviewed notes and filed them away methodically, and I surprised myself a little. I spoke with a client and i felt heavy and tired in a way that words barely capture, and it set the tone for everything after. It wasn’t great, but it doesn’t have to define the week.",slightly_negative
324,"Today left me pleasantly uplifted over lunch on a rooftop after I hit a personal record on my run and felt unstoppable, while keeping my priorities clear. I spoke with a close friend and i caught myself smiling for no reason again and again, even if it took longer than planned. I’m content to end the day on this gentle, happy note.",happy
16,"I’m in a calm, positive headspace during my commute in a quiet café after I received a warm message that made my whole day brighter, even though the odds weren’t in my favor. I spoke with my sister and it felt like the world opened up with possibilities, and it was refreshingly straightforward. I’d love more days that feel exactly like this—simple and good.",happy
504,"I feel emotionally exhausted while running errands in the lobby after I had an awkward exchange that left me second-guessing myself, and it reminded me how far I’ve come. I spoke with a coworker and my chest felt tight and motivation slipped through my fingers, while keeping my priorities clear. I’m trying to be gentle with myself until the storm passes.",very_sad
620,"I’m cruising on autopilot this morning in a crowded bookstore after I sat through a couple of standard meetings that were fine, even with a few minor hiccups. I spoke with my sister and it was a middle-of-the-road day, neither draining nor thrilling, and I’m choosing to celebrate it. There’s value in a plain day that asks nothing extra of me.",neutral
345,"I feel genuinely good as the sun was setting in the kitchen after I found a solution to a bug that had blocked me for days, without needing to push myself too hard. I spoke with a close friend and i felt light, grateful, and incredibly energized, in a way that felt calm and confident. I’m content to end the day on this gentle, happy note.",happy
349,"I’m weighed down more than I’d like over the weekend in a crowded bookstore after I ran into a stubborn issue that refused to budge, even with a few minor hiccups. I spoke with a neighbor and the smallest decisions felt harder than they should have, despite the noise around me. I’m going to give myself permission to slow down and recover.",sad
793,"Today left me pleasantly uplifted earlier today on a rooftop after I hit a personal record on my run and felt unstoppable, and the timing couldn’t have been better. I spoke with a client and my whole body buzzed with excitement and relief, and I surprised myself a little. I’m grateful for the calm, steady glow that’s lingering.",happy
207,"I’m cruising on autopilot earlier today on the subway after I cleaned up my inbox and checked items off a list one by one, though I still see room to grow. I spoke with a barista and it was a middle-of-the-road day, neither draining nor thrilling, and it was refreshingly straightforward. There’s value in a plain day that asks nothing extra of me.",neutral
260,"I can’t stop grinning right when I woke up in a crowded bookstore after I cooked a complicated recipe that actually turned out amazing, without needing to push myself too hard. I spoke with an old classmate and there was a contagious brightness in everything i touched, which I honestly didn’t expect. It’s rare to feel this light, and I’m savoring every second.",very_happy
998,"I’m steady and even-keeled this afternoon on my balcony after I cleaned up my inbox and checked items off a list one by one, and I’m choosing to celebrate it. I spoke with my manager and i felt steady and composed without any intense swings, though I still see room to grow. I’ll pick things up again tomorrow with the same steady pace.",neutral
410,"I’m cruising on autopilot earlier today in the kitchen after I took care of errands and kept the day fairly structured, in a way that felt calm and confident. I spoke with a client and my thoughts were clear but not particularly inspired, though I still see room to grow. There’s value in a plain day that asks nothing extra of me.",neutral
526,"I feel unbelievably thankful just before dinner at the gym after I finally booked a trip I’ve been dreaming about forever, even if it took longer than planned. I spoke with my teammate and i felt light, grateful, and incredibly energized, and it was refreshingly straightforward. Right now, it feels like anything is possible, and I’m so grateful for it.",very_happy
614,"I’m mildly unsettled earlier today on my balcony after I followed my schedule precisely and stayed on track, in a way that felt calm and confident. I spoke with a neighbor and despite trying to rally, a gray haze followed me around, which I honestly didn’t expect. I’ll chalk it up as a learning day and try again tomorrow.",slightly_negative
617,"I can’t stop grinning late at night at my desk after I received a warm message that made my whole day brighter, in a way that felt calm and confident. I spoke with my sister and i felt light, grateful, and incredibly energized, and the timing couldn’t have been better. It’s rare to feel this light, and I’m savoring every second.",very_happy
622,"I’m struggling to keep my energy up earlier today in the kitchen after I struggled to find motivation and momentum throughout the day, though I still see room to grow. I spoke with a friendly stranger and the smallest decisions felt harder than they should have, which I honestly didn’t expect. I’m going to give myself permission to slow down and recover.",sad
367,"There’s a light breeze of hope today late at night in a quiet café after I took care of errands and kept the day fairly structured, without needing to push myself too hard. I spoke with my brother and it was a middle-of-the-road day, neither draining nor thrilling, despite the noise around me. If I keep stacking little wins, I think I’ll get where I want to be.",slightly_positive
137,"I’m neither thrilled nor upset this afternoon on my balcony after I sat through a couple of standard meetings that were fine, in a way that felt calm and confident. I spoke with my brother and it was a middle-of-the-road day, neither draining nor thrilling, even if it took longer than planned. There’s value in a plain day that asks nothing extra of me.",neutral
19,"I’m not quite myself today as the sun was setting in a crowded bookstore after I went through my usual routine without anything remarkable happening, without needing to push myself too hard. I spoke with my parents and my mood stayed even and practical from task to task, and I surprised myself a little. It wasn’t great, but it doesn’t have to define the week.",slightly_negative
935,"I’m cruising on autopilot right when I woke up around the neighborhood after I kept things simple and predictable from start to finish, without needing to push myself too hard. I spoke with my teammate and everything felt fine, serviceable, and adequately balanced, which I honestly didn’t expect. There’s value in a plain day that asks nothing extra of me.",neutral
602,"I’m overwhelmed by a deep sadness just before dinner at the office after I had an awkward exchange that left me second-guessing myself, without needing to push myself too hard. I spoke with my parents and the smallest decisions felt harder than they should have, while keeping my priorities clear. I’ll reach out to someone who can sit with me through this heaviness.",very_sad
262,"I’m feeling a bit better than usual during my commute on my balcony after I found a solution to a bug that had blocked me for days, and I’m choosing to celebrate it. I spoke with a neighbor and my whole body buzzed with excitement and relief, in a way that felt calm and confident. I’m encouraged enough to plan something small and meaningful tomorrow.",slightly_positive
521,"I’m cautiously optimistic just before dinner at my desk after I got surprising recognition for an idea I floated last week, even though the odds weren’t in my favor. I spoke with my roommate and i felt light, grateful, and incredibly energized, and I surprised myself a little. It’s not a big shift, but I’ll take the nudge in the right direction.",slightly_positive
289,"I’m in a calm, positive headspace right after a long call on the subway after I wrapped up a project I’ve been chipping away at for months, without needing to push myself too hard. I spoke with a barista and it felt like the world opened up with possibilities, even with a few minor hiccups. I’m content to end the day on this gentle, happy note.",happy
564,"I’m cruising on autopilot after work in a shared workspace after I prepped meals for the week and tidied the place, even with a few minor hiccups. I spoke with an old classmate and my mood stayed even and practical from task to task, despite the noise around me. I’ll pick things up again tomorrow with the same steady pace.",neutral
440,"I’m carrying a noticeable heaviness just before dinner around the neighborhood after I watched my plans unravel despite careful prep, and it set the tone for everything after. I spoke with my parents and the smallest decisions felt harder than they should have, while keeping my priorities clear. I’m going to give myself permission to slow down and recover.",sad
77,"I’m overwhelmed by a deep sadness on my way home at my desk after I received critical feedback that stung more than I expected, in a way that felt calm and confident. I spoke with a mentor and my chest felt tight and motivation slipped through my fingers, which I honestly didn’t expect. I’ll reach out to someone who can sit with me through this heaviness.",very_sad
925,"I feel unbelievably thankful late at night in my apartment after I got surprising recognition for an idea I floated last week, without needing to push myself too hard. I spoke with my parents and i caught myself smiling for no reason again and again, and it was refreshingly straightforward. I want to hold on to this feeling and share it with everyone around me.",very_happy
848,"I feel unbelievably thankful after work in a quiet café after I wrapped up a project I’ve been chipping away at for months, without needing to push myself too hard. I spoke with a barista and i caught myself smiling for no reason again and again, and it set the tone for everything after. It’s rare to feel this light, and I’m savoring every second.",very_happy
647,"There’s a light breeze of hope today over lunch at the office after I got surprising recognition for an idea I floated last week, and I surprised myself a little. I spoke with a client and i felt light, grateful, and incredibly energized, even if it took longer than planned. I’m encouraged enough to plan something small and meaningful tomorrow.",slightly_positive
875,"I feel emotionally exhausted on my way home in a crowded bookstore after I felt left out of a conversation that mattered to me, even though the odds weren’t in my favor. I spoke with a client and the smallest decisions felt harder than they should have, in a way that felt calm and confident. I’ll reach out to someone who can sit with me through this heaviness.",very_sad
495,"I’m mildly unsettled over lunch at the office after I missed a deadline I was trying hard to meet, and it set the tone for everything after. I spoke with my manager and i felt heavy and tired in a way that words barely capture, even though the odds weren’t in my favor. It wasn’t great, but it doesn’t have to define the week.",slightly_negative
123,"I’m neither thrilled nor upset just before dinner in the kitchen after I reviewed notes and filed them away methodically, which I honestly didn’t expect. I spoke with my brother and my thoughts were clear but not particularly inspired, without needing to push myself too hard. There’s value in a plain day that asks nothing extra of me.",neutral
971,"I’m mildly unsettled on my way home at the gym after I took care of errands and kept the day fairly structured, while keeping my priorities clear. I spoke with a friendly stranger and despite trying to rally, a gray haze followed me around, though I still see room to grow. Some rest and perspective might reset things just enough.",slightly_negative
96,"I’m not quite myself today over the weekend in my apartment after I watched my plans unravel despite careful prep, and I surprised myself a little. I spoke with my parents and each setback pressed down until it blurred into the next, even though the odds weren’t in my favor. Some rest and perspective might reset things just enough.",slightly_negative
63,"I feel emotionally exhausted right after a long call at the gym after I ran into a stubborn issue that refused to budge, and I surprised myself a little. I spoke with a barista and despite trying to rally, a gray haze followed me around, even with a few minor hiccups. I’m trying to be gentle with myself until the storm passes.",very_sad
391,"I’m weighed down more than I’d like just before dinner at the gym after I spent hours on a problem only to end up back where I started, and the timing couldn’t have been better. I spoke with my parents and each setback pressed down until it blurred into the next, which I honestly didn’t expect. I need a quiet reset before I can try to move forward again.",sad
586,"I’m a little off my game while running errands in a quiet café after I missed a deadline I was trying hard to meet, even though the odds weren’t in my favor. I spoke with a barista and it was a middle-of-the-road day, neither draining nor thrilling, despite the noise around me. It wasn’t great, but it doesn’t have to define the week.",slightly_negative
411,"I’m not quite myself today during my commute in a crowded bookstore after I struggled to find motivation and momentum throughout the day, even if it took longer than planned. I spoke with a close friend and the smallest decisions felt harder than they should have, and the timing couldn’t have been better. It wasn’t great, but it doesn’t have to define the week.",slightly_negative
390,"I’m not quite myself today after work at the park after I took care of errands and kept the day fairly structured, despite the noise around me. I spoke with my manager and the smallest decisions felt harder than they should have, and it set the tone for everything after. I’ll chalk it up as a learning day and try again tomorrow.",slightly_negative
378,"I’m overwhelmed by a deep sadness right after a long call in a crowded bookstore after I struggled to find motivation and momentum throughout the day, which I honestly didn’t expect. I spoke with a neighbor and i felt heavy and tired in a way that words barely capture, and it reminded me how far I’ve come. I’ll reach out to someone who can sit with me through this heaviness.",very_sad
812,"I feel emotionally exhausted earlier today in the lobby after I felt left out of a conversation that mattered to me, and it was refreshingly straightforward. I spoke with a barista and the smallest decisions felt harder than they should have, and the timing couldn’t have been better. I’ll reach out to someone who can sit with me through this heaviness.",very_sad
764,"I feel unbelievably thankful over the weekend at my desk after I hit a personal record on my run and felt unstoppable, and it set the tone for everything after. I spoke with my manager and i caught myself smiling for no reason again and again, even though the odds weren’t in my favor. I want to hold on to this feeling and share it with everyone around me.",very_happy
321,"I’m carrying a noticeable heaviness this morning on a rooftop after I watched my plans unravel despite careful prep, even with a few minor hiccups. I spoke with my roommate and my chest felt tight and motivation slipped through my fingers, and it set the tone for everything after. I need a quiet reset before I can try to move forward again.",sad
557,"I’m neither thrilled nor upset this evening at the park after I reviewed notes and filed them away methodically, in a way that felt calm and confident. I spoke with a friendly stranger and it was a middle-of-the-road day, neither draining nor thrilling, without needing to push myself too hard. There’s value in a plain day that asks nothing extra of me.",neutral
770,"I feel emotionally exhausted just before dinner in the kitchen after I felt left out of a conversation that mattered to me, and I’m choosing to celebrate it. I spoke with a barista and my chest felt tight and motivation slipped through my fingers, though I still see room to grow. I’ll reach out to someone who can sit with me through this heaviness.",very_sad
795,"I’m steady and even-keeled after work in a crowded bookstore after I took care of errands and kept the day fairly structured, though I still see room to grow. I spoke with my parents and my thoughts were clear but not particularly inspired, and I surprised myself a little. There’s value in a plain day that asks nothing extra of me.",neutral
846,"I’m carrying a noticeable heaviness this evening in a crowded bookstore after I felt left out of a conversation that mattered to me, even with a few minor hiccups. I spoke with an old classmate and i felt heavy and tired in a way that words barely capture, even if it took longer than planned. I’m going to give myself permission to slow down and recover.",sad
82,"I’m mildly unsettled after work in a quiet café after I kept things simple and predictable from start to finish, even with a few minor hiccups. I spoke with my roommate and my thoughts were clear but not particularly inspired, and it reminded me how far I’ve come. I’ll chalk it up as a learning day and try again tomorrow.",slightly_negative
413,"I feel emotionally exhausted just before dinner at the park after I spent hours on a problem only to end up back where I started, though I still see room to grow. I spoke with a client and my chest felt tight and motivation slipped through my fingers, and I’m choosing to celebrate it. I’ll reach out to someone who can sit with me through this heaviness.",very_sad
493,"There’s a light breeze of hope today just before dinner at the park after I took care of errands and kept the day fairly structured, though I still see room to grow. I spoke with a neighbor and my whole body buzzed with excitement and relief, even though the odds weren’t in my favor. It’s not a big shift, but I’ll take the nudge in the right direction.",slightly_positive
459,"I’m neither thrilled nor upset just before dinner at the park after I took care of errands and kept the day fairly structured, though I still see room to grow. I spoke with a client and i felt steady and composed without any intense swings, even though the odds weren’t in my favor. There’s value in a plain day that asks nothing extra of me.",neutral
933,"Today left me pleasantly uplifted this evening at the office after I received a warm message that made my whole day brighter, while keeping my priorities clear. I spoke with a barista and there was a contagious brightness in everything i touched, and the timing couldn’t have been better. I’d love more days that feel exactly like this—simple and good.",happy
651,"I’m finding it hard to see the bright side this morning in a quiet café after I felt scattered and couldn’t focus on the tasks in front of me, and I’m choosing to celebrate it. I spoke with an old classmate and each setback pressed down until it blurred into the next, even though the odds weren’t in my favor. For now, I’m focusing on breathing and taking the smallest next step.",very_sad
539,"I’m finding it hard to see the bright side this afternoon at the park after I watched my plans unravel despite careful prep, which I honestly didn’t expect. I spoke with my partner and each setback pressed down until it blurred into the next, in a way that felt calm and confident. For now, I’m focusing on breathing and taking the smallest next step.",very_sad
374,"I’m cautiously optimistic as the sun was setting on my balcony after I did some reading and light stretching before dinner, though I still see room to grow. I spoke with a mentor and it was a middle-of-the-road day, neither draining nor thrilling, which I honestly didn’t expect. If I keep stacking little wins, I think I’ll get where I want to be.",slightly_positive
536,"I’m neither thrilled nor upset this afternoon by the river after I went through my usual routine without anything remarkable happening, despite the noise around me. I spoke with my roommate and my thoughts were clear but not particularly inspired, even though the odds weren’t in my favor. I’m fine letting the day fade out quietly without fanfare.",neutral
105,"I’m overwhelmed by a deep sadness while running errands in a shared workspace after I received critical feedback that stung more than I expected, even though the odds weren’t in my favor. I spoke with my partner and despite trying to rally, a gray haze followed me around, even with a few minor hiccups. For now, I’m focusing on breathing and taking the smallest next step.",very_sad
736,"I feel unbelievably thankful over the weekend at the office after I delivered a presentation that landed exactly the way I hoped, and the timing couldn’t have been better. I spoke with my parents and my whole body buzzed with excitement and relief, in a way that felt calm and confident. I want to hold on to this feeling and share it with everyone around me.",very_happy
294,"I’m finding it hard to see the bright side right when I woke up by the river after I missed a deadline I was trying hard to meet, and it set the tone for everything after. I spoke with a neighbor and despite trying to rally, a gray haze followed me around, while keeping my priorities clear. For now, I’m focusing on breathing and taking the smallest next step.",very_sad
658,"I’m overwhelmed by a deep sadness late at night on my balcony after I watched my plans unravel despite careful prep, despite the noise around me. I spoke with my partner and my chest felt tight and motivation slipped through my fingers, and I surprised myself a little. For now, I’m focusing on breathing and taking the smallest next step.",very_sad
566,"I’m struggling to keep my energy up after work around the neighborhood after I watched my plans unravel despite careful prep, while keeping my priorities clear. I spoke with my teammate and each setback pressed down until it blurred into the next, without needing to push myself too hard. I need a quiet reset before I can try to move forward again.",sad
541,"Today left me pleasantly uplifted right when I woke up in my apartment after I cooked a complicated recipe that actually turned out amazing, even if it took longer than planned. I spoke with my brother and i felt light, grateful, and incredibly energized, despite the noise around me. I’d love more days that feel exactly like this—simple and good.",happy
895,"I’m weighed down more than I’d like this evening at my desk after I dealt with a misunderstanding that drained my energy, without needing to push myself too hard. I spoke with my brother and i felt heavy and tired in a way that words barely capture, and I surprised myself a little. I’m going to give myself permission to slow down and recover.",sad
203,"I feel emotionally exhausted right after a long call at the office after I missed a deadline I was trying hard to meet, despite the noise around me. I spoke with a neighbor and i felt heavy and tired in a way that words barely capture, even with a few minor hiccups. I’m trying to be gentle with myself until the storm passes.",very_sad
11,"I’m neither thrilled nor upset this afternoon in a crowded bookstore after I cleaned up my inbox and checked items off a list one by one, and it set the tone for everything after. I spoke with a friendly stranger and everything felt fine, serviceable, and adequately balanced, even though the odds weren’t in my favor. There’s value in a plain day that asks nothing extra of me.",neutral
361,"I’m steady and even-keeled after work on a rooftop after I sat through a couple of standard meetings that were fine, while keeping my priorities clear. I spoke with my manager and it was a middle-of-the-road day, neither draining nor thrilling, in a way that felt calm and confident. There’s value in a plain day that asks nothing extra of me.",neutral
232,"I feel unbelievably thankful over the weekend in my apartment after I delivered a presentation that landed exactly the way I hoped, even with a few minor hiccups. I spoke with my brother and my whole body buzzed with excitement and relief, despite the noise around me. It’s rare to feel this light, and I’m savoring every second.",very_happy
147,"I’m finding it hard to see the bright side late at night in the lobby after I struggled to find motivation and momentum throughout the day, though I still see room to grow. I spoke with my teammate and the smallest decisions felt harder than they should have, even though the odds weren’t in my favor. I’m trying to be gentle with myself until the storm passes.",very_sad
170,"Today left me pleasantly uplifted this morning on the subway after I finished organizing my workspace and everything feels so effortless, and it reminded me how far I’ve come. I spoke with a mentor and i felt light, grateful, and incredibly energized, even with a few minor hiccups. I’d love more days that feel exactly like this—simple and good.",happy
630,"I’m overwhelmed by a deep sadness over the weekend in a quiet café after I dealt with a misunderstanding that drained my energy, even if it took longer than planned. I spoke with my manager and the smallest decisions felt harder than they should have, despite the noise around me. For now, I’m focusing on breathing and taking the smallest next step.",very_sad
580,"I’m struggling to keep my energy up this afternoon at my desk after I ran into a stubborn issue that refused to budge, and I’m choosing to celebrate it. I spoke with my brother and i felt heavy and tired in a way that words barely capture, and I surprised myself a little. I need a quiet reset before I can try to move forward again.",sad
986,"I’m weighed down more than I’d like late at night on the subway after I received critical feedback that stung more than I expected, even with a few minor hiccups. I spoke with an old classmate and i felt heavy and tired in a way that words barely capture, while keeping my priorities clear. I’ll lean on routines and people who make me feel safe.",sad
388,"I’m cautiously optimistic over lunch around the neighborhood after I cooked a complicated recipe that actually turned out amazing, and it set the tone for everything after. I spoke with a client and my mood stayed even and practical from task to task, though I still see room to grow. I’m encouraged enough to plan something small and meaningful tomorrow.",slightly_positive
969,"I’m cautiously optimistic right when I woke up by the river after I hit a personal record on my run and felt unstoppable, despite the noise around me. I spoke with a coworker and my whole body buzzed with excitement and relief, and I’m choosing to celebrate it. If I keep stacking little wins, I think I’ll get where I want to be.",slightly_positive
172,"I’m neither thrilled nor upset as the sun was setting in a crowded bookstore after I did some reading and light stretching before dinner, while keeping my priorities clear. I spoke with my partner and i felt steady and composed without any intense swings, and it was refreshingly straightforward. I’m fine letting the day fade out quietly without fanfare.",neutral
842,"I’m in a calm, positive headspace right after a long call at the park after I delivered a presentation that landed exactly the way I hoped, even though the odds weren’t in my favor. I spoke with my brother and there was a contagious brightness in everything i touched, which I honestly didn’t expect. I’d love more days that feel exactly like this—simple and good.",happy
704,"I’m steady and even-keeled while running errands by the river after I followed my schedule precisely and stayed on track, and I surprised myself a little. I spoke with an old classmate and i felt steady and composed without any intense swings, in a way that felt calm and confident. I’m fine letting the day fade out quietly without fanfare.",neutral
163,"I feel genuinely good just before dinner in the lobby after I reconnected with someone important and we laughed for hours, and it set the tone for everything after. I spoke with my partner and i caught myself smiling for no reason again and again, and I’m choosing to celebrate it. I’m content to end the day on this gentle, happy note.",happy
339,"There’s a light breeze of hope today after work in my apartment after I followed my schedule precisely and stayed on track, and it was refreshingly straightforward. I spoke with my roommate and my thoughts were clear but not particularly inspired, and it reminded me how far I’ve come. It’s not a big shift, but I’ll take the nudge in the right direction.",slightly_positive
144,"I’m steady and even-keeled while running errands in a crowded bookstore after I kept things simple and predictable from start to finish, and the timing couldn’t have been better. I spoke with an old classmate and my thoughts were clear but not particularly inspired, despite the noise around me. I’ll pick things up again tomorrow with the same steady pace.",neutral
882,"I’m overwhelmed by a deep sadness this morning around the neighborhood after I watched my plans unravel despite careful prep, which I honestly didn’t expect. I spoke with a coworker and each setback pressed down until it blurred into the next, and I’m choosing to celebrate it. I’m trying to be gentle with myself until the storm passes.",very_sad
255,"I’m cautiously optimistic late at night at the gym after I took care of errands and kept the day fairly structured, without needing to push myself too hard. I spoke with my partner and it was a middle-of-the-road day, neither draining nor thrilling, even if it took longer than planned. It’s not a big shift, but I’ll take the nudge in the right direction.",slightly_positive
844,"I’m steady and even-keeled this morning on the subway after I followed my schedule precisely and stayed on track, while keeping my priorities clear. I spoke with my teammate and it was a middle-of-the-road day, neither draining nor thrilling, though I still see room to grow. There’s value in a plain day that asks nothing extra of me.",neutral
936,"I’m a little off my game over the weekend in a crowded bookstore after I struggled to find motivation and momentum throughout the day, and the timing couldn’t have been better. I spoke with my teammate and i felt steady and composed without any intense swings, and it reminded me how far I’ve come. Some rest and perspective might reset things just enough.",slightly_negative
641,"I’m cruising on autopilot on my way home at the park after I caught up on chores while listening to a podcast, and it reminded me how far I’ve come. I spoke with a mentor and it was a middle-of-the-road day, neither draining nor thrilling, which I honestly didn’t expect. There’s value in a plain day that asks nothing extra of me.",neutral
250,"I’m a little off my game this morning at the office after I did some reading and light stretching before dinner, though I still see room to grow. I spoke with a neighbor and everything felt fine, serviceable, and adequately balanced, and I surprised myself a little. It wasn’t great, but it doesn’t have to define the week.",slightly_negative
613,"I’m neither thrilled nor upset during my commute in the lobby after I did some reading and light stretching before dinner, and it was refreshingly straightforward. I spoke with my partner and my mood stayed even and practical from task to task, which I honestly didn’t expect. I’ll pick things up again tomorrow with the same steady pace.",neutral
666,"I can’t stop grinning late at night at the gym after I delivered a presentation that landed exactly the way I hoped, and the timing couldn’t have been better. I spoke with a neighbor and it felt like the world opened up with possibilities, which I honestly didn’t expect. I want to hold on to this feeling and share it with everyone around me.",very_happy
240,"Today left me pleasantly uplifted late at night by the river after I reconnected with someone important and we laughed for hours, in a way that felt calm and confident. I spoke with an old classmate and my whole body buzzed with excitement and relief, and I surprised myself a little. I’d love more days that feel exactly like this—simple and good.",happy
302,"I can’t stop grinning on my way home around the neighborhood after I finished organizing my workspace and everything feels so effortless, and it was refreshingly straightforward. I spoke with my sister and there was a contagious brightness in everything i touched, even with a few minor hiccups. I want to hold on to this feeling and share it with everyone around me.",very_happy
582,"I can’t stop grinning over lunch by the river after I delivered a presentation that landed exactly the way I hoped, in a way that felt calm and confident. I spoke with my brother and i caught myself smiling for no reason again and again, while keeping my priorities clear. Right now, it feels like anything is possible, and I’m so grateful for it.",very_happy
522,"I’m steady and even-keeled after work at my desk after I caught up on chores while listening to a podcast, despite the noise around me. I spoke with a barista and it was a middle-of-the-road day, neither draining nor thrilling, though I still see room to grow. I’m fine letting the day fade out quietly without fanfare.",neutral
261,"Today left me pleasantly uplifted right when I woke up in the lobby after I hit a personal record on my run and felt unstoppable, and I surprised myself a little. I spoke with a close friend and i caught myself smiling for no reason again and again, though I still see room to grow. I’d love more days that feel exactly like this—simple and good.",happy
138,"I’m not quite myself today just before dinner in the lobby after I sat through a couple of standard meetings that were fine, and I’m choosing to celebrate it. I spoke with my sister and i felt steady and composed without any intense swings, even though the odds weren’t in my favor. Some rest and perspective might reset things just enough.",slightly_negative
217,"I feel emotionally exhausted right when I woke up on a rooftop after I spent hours on a problem only to end up back where I started, even though the odds weren’t in my favor. I spoke with my teammate and despite trying to rally, a gray haze followed me around, without needing to push myself too hard. For now, I’m focusing on breathing and taking the smallest next step.",very_sad
873,"I’m mildly unsettled earlier today on the subway after I felt left out of a conversation that mattered to me, and I’m choosing to celebrate it. I spoke with my partner and my thoughts were clear but not particularly inspired, though I still see room to grow. It wasn’t great, but it doesn’t have to define the week.",slightly_negative
251,"I’m carrying a noticeable heaviness right when I woke up on my balcony after I struggled to find motivation and momentum throughout the day, and it was refreshingly straightforward. I spoke with an old classmate and i felt heavy and tired in a way that words barely capture, even with a few minor hiccups. I’m going to give myself permission to slow down and recover.",sad
159,"I’m not quite myself today over lunch on a rooftop after I ran into a stubborn issue that refused to budge, and I’m choosing to celebrate it. I spoke with a neighbor and i felt heavy and tired in a way that words barely capture, without needing to push myself too hard. Some rest and perspective might reset things just enough.",slightly_negative
275,"I’m in a calm, positive headspace right when I woke up in a quiet café after I reconnected with someone important and we laughed for hours, and the timing couldn’t have been better. I spoke with a barista and i felt light, grateful, and incredibly energized, even if it took longer than planned. I’m content to end the day on this gentle, happy note.",happy
327,"I’m a little off my game over lunch by the river after I kept things simple and predictable from start to finish, and it reminded me how far I’ve come. I spoke with a client and i felt steady and composed without any intense swings, despite the noise around me. Some rest and perspective might reset things just enough.",slightly_negative
282,"I feel genuinely good during my commute in a crowded bookstore after I received a warm message that made my whole day brighter, and I surprised myself a little. I spoke with my roommate and my whole body buzzed with excitement and relief, which I honestly didn’t expect. I’m content to end the day on this gentle, happy note.",happy
317,"I’m in a calm, positive headspace over lunch on the subway after I finished organizing my workspace and everything feels so effortless, and it was refreshingly straightforward. I spoke with my manager and there was a contagious brightness in everything i touched, and I’m choosing to celebrate it. I’m grateful for the calm, steady glow that’s lingering.",happy
