case_id,message,mood,subcategory
0043,"To be real, my appetite dipped and meals turned into chores the apartment was clean and I still felt messy inside and the day moved past me like fog.",very_sad,depression
0044,"Right now, my body feels like a low battery that never recharges I turned off the lights earlier than usual.",very_sad,depression
0045,"Right now, I shut the music off because it made me sadder and hope feels very far away.",very_sad,depression
0046,my body feels like a low battery that never recharges laundry finished and I let it sit in the basket and I’m not sure how to keep going like this. I took a slow walk to feel something steady.,very_sad,depression
0047,"Somehow, I keep moving but it feels like standing still at work the update landed and I felt nothing and the emptiness hums quietly. I sat by the window and watched nothing in particular.",very_sad,depression
0048,my appetite dipped and meals turned into chores at work the update landed and I felt nothing and I’m not sure how to keep going like this.,very_sad,depression
0049,"Honestly, I keep moving but it feels like standing still and hope feels very far away. I turned off the lights earlier than usual.",very_sad,depression
0050,my appetite dipped and meals turned into chores the lecture ended and I couldn’t recall a single point and every step feels two steps back.,very_sad,depression
0051,"Honestly, I drifted through conversations without landing the lecture ended and I couldn’t recall a single point and I can’t find any spark in me. I washed my face and tried to reset.",very_sad,depression
0052,"Right now, smiles don’t reach me and I can’t fake it well and I can’t find any spark in me.",very_sad,depression
0053,"Honestly, smiles don’t reach me and I can’t fake it well the apartment was clean and I still felt messy inside and it all feels heavy and colorless. I breathed slowly and counted to ten again and again.",very_sad,depression
0054,I shut the music off because it made me sadder I rewound a song three times and felt less each loop and the emptiness hums quietly. I turned off the lights earlier than usual.,very_sad,depression
0055,"Somehow, I drifted through conversations without landing and the emptiness hums quietly. I watered a plant and felt nothing change.",very_sad,depression
0056,"To be real, the day stretched out blank and heavy and I can’t find any spark in me.",very_sad,depression
0057,my appetite dipped and meals turned into chores the weather was beautiful and I stayed numb I folded clothes in silence.,very_sad,depression
0058,"Right now, waking up felt like pushing through wet concrete the weather was beautiful and I stayed numb and the day moved past me like fog. I took a slow walk to feel something steady.",very_sad,depression
0059,the mirror shows someone tired and unfamiliar and the day moved past me like fog.,very_sad,depression
0060,"This evening, I drifted through conversations without landing and the emptiness hums quietly.",very_sad,depression
0061,"This evening, the day stretched out blank and heavy I cooked something simple and barely tasted it and the day moved past me like fog.",very_sad,depression
0062,"Early this morning, my body feels like a low battery that never recharges and I feel worn thin. I turned off the lights earlier than usual.",very_sad,depression
0063,"Early this morning, smiles don’t reach me and I can’t fake it well and hope feels very far away. I made tea and watched the steam fade.",very_sad,depression
0064,"To be real, I drifted through conversations without landing at work the update landed and I felt nothing and nothing seems to lift the weight. I folded clothes in silence.",very_sad,depression
0065,"After a long silence, I keep moving but it feels like standing still and I feel worn thin.",very_sad,depression
0066,the mirror shows someone tired and unfamiliar and I can’t find any spark in me. I sat by the window and watched nothing in particular.,very_sad,depression
0067,smiles don’t reach me and I can’t fake it well and I’m not sure how to keep going like this. I washed my face and tried to reset.,very_sad,depression
0068,I keep moving but it feels like standing still and nothing seems to lift the weight.,very_sad,depression
0069,I drifted through conversations without landing and I’m tired in a way sleep doesn’t fix. I watered a plant and felt nothing change.,very_sad,depression
0070,I drifted through conversations without landing and it all feels heavy and colorless. I watered a plant and felt nothing change.,very_sad,depression
0071,"Early this morning, smiles don’t reach me and I can’t fake it well at work the update landed and I felt nothing and I’m not sure how to keep going like this. I turned off the lights earlier than usual.",very_sad,depression
0072,"Somehow, my appetite dipped and meals turned into chores",very_sad,depression
0073,"After a long silence, I shut the music off because it made me sadder the lecture ended and I couldn’t recall a single point and I’m tired in a way sleep doesn’t fix.",very_sad,depression
0074,"This evening, I shut the music off because it made me sadder my phone lit up with news I couldn’t care about and the emptiness hums quietly. I turned off the lights earlier than usual.",very_sad,depression
0075,"Today, I keep moving but it feels like standing still laundry finished and I let it sit in the basket and it all feels heavy and colorless. I put on a song and it felt hollow.",very_sad,depression
0076,the things I love feel far away and faint and I can’t find any spark in me.,very_sad,depression
0077,"Right now, I drifted through conversations without landing the lecture ended and I couldn’t recall a single point and I feel worn thin. I washed my face and tried to reset.",very_sad,depression
0078,"Somehow, the things I love feel far away and faint I cooked something simple and barely tasted it and I’m tired in a way sleep doesn’t fix. I watered a plant and felt nothing change.",very_sad,depression
0079,"At the end of it all, I keep moving but it feels like standing still on the bus I stared at the same ad for three stops and I feel worn thin. I breathed slowly and counted to ten again and again.",very_sad,depression
0080,"This evening, the day stretched out blank and heavy and the day moved past me like fog. I watered a plant and felt nothing change.",very_sad,depression
0081,my appetite dipped and meals turned into chores the weather was beautiful and I stayed numb,very_sad,depression
0082,"After a long silence, smiles don’t reach me and I can’t fake it well at work the update landed and I felt nothing and hope feels very far away.",very_sad,depression
0083,"This evening, the day stretched out blank and heavy and hope feels very far away.",very_sad,depression
0084,"At the end of it all, I shut the music off because it made me sadder I rewound a song three times and felt less each loop and nothing seems to lift the weight. I took a slow walk to feel something steady.",very_sad,depression
0085,"After a long silence, my appetite dipped and meals turned into chores the lecture ended and I couldn’t recall a single point and I can’t find any spark in me. I watered a plant and felt nothing change.",very_sad,depression
0086,"At the end of it all, smiles don’t reach me and I can’t fake it well and I’m not sure how to keep going like this. I took a slow walk to feel something steady.",very_sad,depression
0087,"Today, the things I love feel far away and faint and I’m tired in a way sleep doesn’t fix.",very_sad,depression
0088,"Honestly, waking up felt like pushing through wet concrete and I feel worn thin.",very_sad,depression
0089,"Right now, waking up felt like pushing through wet concrete I cooked something simple and barely tasted it and every step feels two steps back.",very_sad,depression
0090,"Today, my body feels like a low battery that never recharges at work the update landed and I felt nothing and I can’t find any spark in me.",very_sad,depression
0091,waking up felt like pushing through wet concrete my phone lit up with news I couldn’t care about and nothing seems to lift the weight.,very_sad,depression
0092,"Right now, my body feels like a low battery that never recharges the lecture ended and I couldn’t recall a single point and hope feels very far away.",very_sad,depression
0093,"To be real, I shut the music off because it made me sadder my phone lit up with news I couldn’t care about and it all feels heavy and colorless.",very_sad,depression
0094,"After a long silence, I shut the music off because it made me sadder I made tea and watched the steam fade.",very_sad,depression
0095,my appetite dipped and meals turned into chores I cooked something simple and barely tasted it and the day moved past me like fog. I wrote a few lines and then stopped.,very_sad,depression
0096,"After a long silence, the mirror shows someone tired and unfamiliar the weather was beautiful and I stayed numb I wrote a few lines and then stopped.",very_sad,depression
0097,"To be real, my body feels like a low battery that never recharges",very_sad,depression
0098,I keep moving but it feels like standing still the apartment was clean and I still felt messy inside and hope feels very far away.,very_sad,depression
0099,"At the end of it all, I keep moving but it feels like standing still on the bus I stared at the same ad for three stops and the emptiness hums quietly. I wrote a few lines and then stopped.",very_sad,depression
0100,"To be real, I shut the music off because it made me sadder the apartment was clean and I still felt messy inside and it all feels heavy and colorless. I took a slow walk to feel something steady.",very_sad,depression
0101,I shut the music off because it made me sadder and the emptiness hums quietly.,very_sad,depression
0102,"Honestly, I shut the music off because it made me sadder and every step feels two steps back.",very_sad,depression
0103,"In the middle of everything, the things I love feel far away and faint and every step feels two steps back. I folded clothes in silence.",very_sad,depression
0104,"Today, I keep moving but it feels like standing still and I feel worn thin.",very_sad,depression
0105,"Somehow, I keep moving but it feels like standing still my phone lit up with news I couldn’t care about and the day moved past me like fog. I wrote a few lines and then stopped.",very_sad,depression
0106,"This evening, the day stretched out blank and heavy and the emptiness hums quietly.",very_sad,depression
0107,"After a long silence, the day stretched out blank and heavy on the bus I stared at the same ad for three stops and the emptiness hums quietly.",very_sad,depression
0108,"Honestly, smiles don’t reach me and I can’t fake it well on the bus I stared at the same ad for three stops and nothing seems to lift the weight. I turned off the lights earlier than usual.",very_sad,depression
0109,"Honestly, the things I love feel far away and faint the weather was beautiful and I stayed numb and nothing seems to lift the weight.",very_sad,depression
0110,"Honestly, the day stretched out blank and heavy I checked the calendar and closed it right away and nothing seems to lift the weight.",very_sad,depression
0111,"Honestly, waking up felt like pushing through wet concrete my phone lit up with news I couldn’t care about and the day moved past me like fog. I made tea and watched the steam fade.",very_sad,depression
0112,my appetite dipped and meals turned into chores and nothing seems to lift the weight.,very_sad,depression
0113,"Honestly, waking up felt like pushing through wet concrete and the day moved past me like fog.",very_sad,depression
0114,my body feels like a low battery that never recharges and hope feels very far away. I watered a plant and felt nothing change.,very_sad,depression
0115,the mirror shows someone tired and unfamiliar and every step feels two steps back.,very_sad,depression
0116,"Somehow, my body feels like a low battery that never recharges on the bus I stared at the same ad for three stops and the emptiness hums quietly.",very_sad,depression
0117,my appetite dipped and meals turned into chores and I’m not sure how to keep going like this. I made tea and watched the steam fade.,very_sad,depression
0118,"Today, my appetite dipped and meals turned into chores and the emptiness hums quietly.",very_sad,depression
0119,my appetite dipped and meals turned into chores,very_sad,depression
0120,"Honestly, waking up felt like pushing through wet concrete and I’m tired in a way sleep doesn’t fix. I washed my face and tried to reset.",very_sad,depression
0121,"Early this morning, I shut the music off because it made me sadder",very_sad,depression
0122,"This evening, the things I love feel far away and faint and the day moved past me like fog. I put on a song and it felt hollow.",very_sad,depression
0123,"Honestly, the mirror shows someone tired and unfamiliar",very_sad,depression
0124,"Somehow, I keep moving but it feels like standing still the apartment was clean and I still felt messy inside and the emptiness hums quietly.",very_sad,depression
0125,"At the end of it all, the day stretched out blank and heavy I rewound a song three times and felt less each loop and the emptiness hums quietly.",very_sad,depression
0126,"Somehow, the mirror shows someone tired and unfamiliar and the emptiness hums quietly. I wrote a few lines and then stopped.",very_sad,depression
0127,I shut the music off because it made me sadder and the day moved past me like fog.,very_sad,depression
0128,"Honestly, I drifted through conversations without landing and I feel worn thin. I turned off the lights earlier than usual.",very_sad,depression
0129,"After a long silence, my body feels like a low battery that never recharges I rewound a song three times and felt less each loop and I’m tired in a way sleep doesn’t fix.",very_sad,depression
0130,"This evening, the things I love feel far away and faint the weather was beautiful and I stayed numb I washed my face and tried to reset.",very_sad,depression
0131,"Somehow, waking up felt like pushing through wet concrete I checked the calendar and closed it right away and I’m not sure how to keep going like this. I breathed slowly and counted to ten again and again.",very_sad,depression
0132,the mirror shows someone tired and unfamiliar I cooked something simple and barely tasted it and I’m not sure how to keep going like this.,very_sad,depression
0133,"Somehow, the mirror shows someone tired and unfamiliar and hope feels very far away. I washed my face and tried to reset.",very_sad,depression
0134,"Early this morning, I shut the music off because it made me sadder on the bus I stared at the same ad for three stops and nothing seems to lift the weight. I washed my face and tried to reset.",very_sad,depression
0135,"After a long silence, my body feels like a low battery that never recharges I checked the calendar and closed it right away and I’m tired in a way sleep doesn’t fix. I made tea and watched the steam fade.",very_sad,depression
0136,"Today, waking up felt like pushing through wet concrete the lecture ended and I couldn’t recall a single point and nothing seems to lift the weight. I sat by the window and watched nothing in particular.",very_sad,depression
0137,"This evening, the mirror shows someone tired and unfamiliar and the day moved past me like fog. I took a slow walk to feel something steady.",very_sad,depression
0138,I shut the music off because it made me sadder and nothing seems to lift the weight.,very_sad,depression
0139,"Early this morning, the things I love feel far away and faint and nothing seems to lift the weight.",very_sad,depression
0140,I keep moving but it feels like standing still,very_sad,depression
0141,"After a long silence, my appetite dipped and meals turned into chores and the emptiness hums quietly.",very_sad,depression
0142,"At the end of it all, my body feels like a low battery that never recharges laundry finished and I let it sit in the basket and it all feels heavy and colorless.",very_sad,depression
0143,"This evening, I keep moving but it feels like standing still the weather was beautiful and I stayed numb and every step feels two steps back. I folded clothes in silence.",very_sad,depression
0144,"Somehow, I drifted through conversations without landing and the day moved past me like fog.",very_sad,depression
0145,"In the middle of everything, the mirror shows someone tired and unfamiliar I cooked something simple and barely tasted it",very_sad,depression
0146,smiles don’t reach me and I can’t fake it well at work the update landed and I felt nothing I wrote a few lines and then stopped.,very_sad,depression
0147,"Right now, I shut the music off because it made me sadder and I feel worn thin. I put on a song and it felt hollow.",very_sad,depression
0148,"Early this morning, my body feels like a low battery that never recharges on the bus I stared at the same ad for three stops and I feel worn thin.",very_sad,depression
0149,"Early this morning, I drifted through conversations without landing and the emptiness hums quietly.",very_sad,depression
0150,my appetite dipped and meals turned into chores and I feel worn thin. I breathed slowly and counted to ten again and again.,very_sad,depression
0151,I shut the music off because it made me sadder my phone lit up with news I couldn’t care about and I feel worn thin. I took a slow walk to feel something steady.,very_sad,depression
0152,I shut the music off because it made me sadder and every step feels two steps back. I wrote a few lines and then stopped.,very_sad,depression
0153,"Somehow, I drifted through conversations without landing I cooked something simple and barely tasted it and I’m not sure how to keep going like this.",very_sad,depression
0154,"Right now, I keep moving but it feels like standing still and hope feels very far away.",very_sad,depression
0155,"After a long silence, I shut the music off because it made me sadder the lecture ended and I couldn’t recall a single point and nothing seems to lift the weight.",very_sad,depression
0156,"Early this morning, smiles don’t reach me and I can’t fake it well",very_sad,depression
0157,the day stretched out blank and heavy and the day moved past me like fog.,very_sad,depression
0158,I shut the music off because it made me sadder I rewound a song three times and felt less each loop and the emptiness hums quietly.,very_sad,depression
0159,the mirror shows someone tired and unfamiliar and it all feels heavy and colorless.,very_sad,depression
0160,"To be real, waking up felt like pushing through wet concrete and nothing seems to lift the weight. I folded clothes in silence.",very_sad,depression
0161,"After a long silence, I drifted through conversations without landing and hope feels very far away. I wrote a few lines and then stopped.",very_sad,depression
0162,"This evening, the things I love feel far away and faint and I can’t find any spark in me. I watered a plant and felt nothing change.",very_sad,depression
0163,"At the end of it all, the mirror shows someone tired and unfamiliar and hope feels very far away.",very_sad,depression
0164,"After a long silence, my body feels like a low battery that never recharges and I can’t find any spark in me. I took a slow walk to feel something steady.",very_sad,depression
0165,the things I love feel far away and faint and I’m not sure how to keep going like this.,very_sad,depression
0166,"To be real, waking up felt like pushing through wet concrete and nothing seems to lift the weight. I breathed slowly and counted to ten again and again.",very_sad,depression
0167,"At the end of it all, I shut the music off because it made me sadder my phone lit up with news I couldn’t care about and I can’t find any spark in me.",very_sad,depression
0168,"Early this morning, I felt on edge like a door half open and I’m not sure how to keep going like this. I breathed slowly and counted to ten again and again.",very_sad,anxiety
0169,"Honestly, I kept scanning the room for what might go wrong and I’m tired in a way sleep doesn’t fix.",very_sad,anxiety
0170,"In the middle of everything, my hands trembled while doing nothing important I checked the calendar and closed it right away and the emptiness hums quietly. I watered a plant and felt nothing change.",very_sad,anxiety
0171,I kept scanning the room for what might go wrong I checked the calendar and closed it right away,very_sad,anxiety
0172,"After a long silence, every ping made me jump a little I checked the calendar and closed it right away and the emptiness hums quietly.",very_sad,anxiety
0173,"In the middle of everything, I felt on edge like a door half open I rewound a song three times and felt less each loop and nothing seems to lift the weight.",very_sad,anxiety
0174,"To be real, my chest felt tight for hours for no clear reason and it all feels heavy and colorless.",very_sad,anxiety
0175,every ping made me jump a little I cooked something simple and barely tasted it and I feel worn thin.,very_sad,anxiety
0176,every ping made me jump a little I cooked something simple and barely tasted it and I’m not sure how to keep going like this. I made tea and watched the steam fade.,very_sad,anxiety
0177,I felt on edge like a door half open and I’m tired in a way sleep doesn’t fix.,very_sad,anxiety
0178,"Today, I rehearsed answers to questions nobody asked and every step feels two steps back. I put on a song and it felt hollow.",very_sad,anxiety
0179,"Right now, my hands trembled while doing nothing important my phone lit up with news I couldn’t care about and the emptiness hums quietly.",very_sad,anxiety
0180,"At the end of it all, I kept scanning the room for what might go wrong on the bus I stared at the same ad for three stops and I can’t find any spark in me. I turned off the lights earlier than usual.",very_sad,anxiety
0181,"After a long silence, I kept scanning the room for what might go wrong and the emptiness hums quietly. I sat by the window and watched nothing in particular.",very_sad,anxiety
0182,my hands trembled while doing nothing important and it all feels heavy and colorless.,very_sad,anxiety
0183,"Somehow, my hands trembled while doing nothing important the lecture ended and I couldn’t recall a single point I watered a plant and felt nothing change.",very_sad,anxiety
0184,thoughts looped like a playlist I can’t stop I checked the calendar and closed it right away and every step feels two steps back.,very_sad,anxiety
0185,"Today, my breathing sped up over something small my phone lit up with news I couldn’t care about and I can’t find any spark in me. I wrote a few lines and then stopped.",very_sad,anxiety
0186,"Today, I rehearsed answers to questions nobody asked laundry finished and I let it sit in the basket and hope feels very far away.",very_sad,anxiety
0187,I felt on edge like a door half open and I feel worn thin.,very_sad,anxiety
0188,I kept scanning the room for what might go wrong and hope feels very far away. I breathed slowly and counted to ten again and again.,very_sad,anxiety
0189,"In the middle of everything, I kept scanning the room for what might go wrong and I can’t find any spark in me. I watered a plant and felt nothing change.",very_sad,anxiety
0190,"At the end of it all, my hands trembled while doing nothing important I cooked something simple and barely tasted it and nothing seems to lift the weight. I wrote a few lines and then stopped.",very_sad,anxiety
0191,"In the middle of everything, I kept scanning the room for what might go wrong I breathed slowly and counted to ten again and again.",very_sad,anxiety
0192,"This evening, my hands trembled while doing nothing important and hope feels very far away. I took a slow walk to feel something steady.",very_sad,anxiety
0193,"In the middle of everything, tiny tasks felt huge and shaky and nothing seems to lift the weight.",very_sad,anxiety
0194,my breathing sped up over something small and I’m not sure how to keep going like this.,very_sad,anxiety
0195,tiny tasks felt huge and shaky I checked the calendar and closed it right away and every step feels two steps back.,very_sad,anxiety
0196,"Right now, thoughts looped like a playlist I can’t stop the apartment was clean and I still felt messy inside and I feel worn thin.",very_sad,anxiety
0197,"Somehow, I rehearsed answers to questions nobody asked and I can’t find any spark in me. I folded clothes in silence.",very_sad,anxiety
0198,I rehearsed answers to questions nobody asked,very_sad,anxiety
0199,I worried about mistakes I haven’t made the apartment was clean and I still felt messy inside and I’m not sure how to keep going like this.,very_sad,anxiety
0200,every ping made me jump a little and nothing seems to lift the weight. I took a slow walk to feel something steady.,very_sad,anxiety
0201,"Right now, my chest felt tight for hours for no clear reason the lecture ended and I couldn’t recall a single point and the day moved past me like fog. I watered a plant and felt nothing change.",very_sad,anxiety
0202,"In the middle of everything, I worried about mistakes I haven’t made the lecture ended and I couldn’t recall a single point and it all feels heavy and colorless.",very_sad,anxiety
0203,"Today, my breathing sped up over something small and it all feels heavy and colorless.",very_sad,anxiety
0204,"This evening, I worried about mistakes I haven’t made I rewound a song three times and felt less each loop and I can’t find any spark in me.",very_sad,anxiety
0205,"At the end of it all, my chest felt tight for hours for no clear reason",very_sad,anxiety
0206,"This evening, I rehearsed answers to questions nobody asked and I’m not sure how to keep going like this.",very_sad,anxiety
0207,"This evening, my hands trembled while doing nothing important and hope feels very far away.",very_sad,anxiety
0208,"Right now, tiny tasks felt huge and shaky I rewound a song three times and felt less each loop and I’m not sure how to keep going like this.",very_sad,anxiety
0209,"Early this morning, I kept scanning the room for what might go wrong on the bus I stared at the same ad for three stops",very_sad,anxiety
0210,"Early this morning, thoughts looped like a playlist I can’t stop and I’m not sure how to keep going like this. I made tea and watched the steam fade.",very_sad,anxiety
0211,my breathing sped up over something small and I’m tired in a way sleep doesn’t fix. I turned off the lights earlier than usual.,very_sad,anxiety
0212,"In the middle of everything, I rehearsed answers to questions nobody asked laundry finished and I let it sit in the basket and it all feels heavy and colorless. I watered a plant and felt nothing change.",very_sad,anxiety
0213,"In the middle of everything, my breathing sped up over something small I checked the calendar and closed it right away and the day moved past me like fog. I wrote a few lines and then stopped.",very_sad,anxiety
0214,"After a long silence, I kept scanning the room for what might go wrong and the day moved past me like fog.",very_sad,anxiety
0215,"Honestly, every ping made me jump a little and nothing seems to lift the weight. I made tea and watched the steam fade.",very_sad,anxiety
0216,my breathing sped up over something small the weather was beautiful and I stayed numb and the emptiness hums quietly. I made tea and watched the steam fade.,very_sad,anxiety
0217,I rehearsed answers to questions nobody asked I breathed slowly and counted to ten again and again.,very_sad,anxiety
0218,"Honestly, my chest felt tight for hours for no clear reason and I can’t find any spark in me.",very_sad,anxiety
0219,my chest felt tight for hours for no clear reason at work the update landed and I felt nothing and nothing seems to lift the weight.,very_sad,anxiety
0220,"Somehow, I felt on edge like a door half open the lecture ended and I couldn’t recall a single point and I’m tired in a way sleep doesn’t fix. I turned off the lights earlier than usual.",very_sad,anxiety
0221,I rehearsed answers to questions nobody asked and the day moved past me like fog. I watered a plant and felt nothing change.,very_sad,anxiety
0222,I felt on edge like a door half open and the emptiness hums quietly.,very_sad,anxiety
0223,my chest felt tight for hours for no clear reason and I can’t find any spark in me. I made tea and watched the steam fade.,very_sad,anxiety
0224,I kept scanning the room for what might go wrong on the bus I stared at the same ad for three stops and I’m tired in a way sleep doesn’t fix.,very_sad,anxiety
0225,"To be real, every ping made me jump a little the lecture ended and I couldn’t recall a single point and the day moved past me like fog.",very_sad,anxiety
0226,"Somehow, my chest felt tight for hours for no clear reason I checked the calendar and closed it right away and I’m not sure how to keep going like this. I sat by the window and watched nothing in particular.",very_sad,anxiety
0227,every ping made me jump a little and every step feels two steps back. I took a slow walk to feel something steady.,very_sad,anxiety
0228,"After a long silence, my breathing sped up over something small and I’m tired in a way sleep doesn’t fix. I folded clothes in silence.",very_sad,anxiety
0229,"Honestly, I worried about mistakes I haven’t made I checked the calendar and closed it right away and I’m tired in a way sleep doesn’t fix. I watered a plant and felt nothing change.",very_sad,anxiety
0230,"At the end of it all, I worried about mistakes I haven’t made and nothing seems to lift the weight. I folded clothes in silence.",very_sad,anxiety
0231,"In the middle of everything, every ping made me jump a little I checked the calendar and closed it right away and I’m tired in a way sleep doesn’t fix.",very_sad,anxiety
0232,"Early this morning, tiny tasks felt huge and shaky and nothing seems to lift the weight. I sat by the window and watched nothing in particular.",very_sad,anxiety
0233,thoughts looped like a playlist I can’t stop and I’m not sure how to keep going like this.,very_sad,anxiety
0234,"Today, I rehearsed answers to questions nobody asked and it all feels heavy and colorless. I took a slow walk to feel something steady.",very_sad,anxiety
0235,tiny tasks felt huge and shaky and I feel worn thin. I put on a song and it felt hollow.,very_sad,anxiety
0236,"After a long silence, my hands trembled while doing nothing important and nothing seems to lift the weight.",very_sad,anxiety
0237,I worried about mistakes I haven’t made and I can’t find any spark in me. I washed my face and tried to reset.,very_sad,anxiety
0238,"This evening, my breathing sped up over something small and every step feels two steps back.",very_sad,anxiety
0239,I felt on edge like a door half open and hope feels very far away.,very_sad,anxiety
0240,"In the middle of everything, I kept scanning the room for what might go wrong and every step feels two steps back.",very_sad,anxiety
0241,thoughts looped like a playlist I can’t stop and I’m tired in a way sleep doesn’t fix.,very_sad,anxiety
0242,my breathing sped up over something small I made tea and watched the steam fade.,very_sad,anxiety
0243,"Honestly, I felt on edge like a door half open and I can’t find any spark in me.",very_sad,anxiety
0244,"Early this morning, tiny tasks felt huge and shaky and I feel worn thin.",very_sad,anxiety
0245,every ping made me jump a little and the day moved past me like fog.,very_sad,anxiety
0246,"In the middle of everything, my breathing sped up over something small and nothing seems to lift the weight. I breathed slowly and counted to ten again and again.",very_sad,anxiety
0247,"At the end of it all, thoughts looped like a playlist I can’t stop and I can’t find any spark in me.",very_sad,anxiety
0248,tiny tasks felt huge and shaky on the bus I stared at the same ad for three stops and the emptiness hums quietly. I made tea and watched the steam fade.,very_sad,anxiety
0249,"Somehow, I rehearsed answers to questions nobody asked and the day moved past me like fog. I turned off the lights earlier than usual.",very_sad,anxiety
0250,"To be real, I rehearsed answers to questions nobody asked the lecture ended and I couldn’t recall a single point and I’m tired in a way sleep doesn’t fix.",very_sad,anxiety
0251,"Right now, every ping made me jump a little and I feel worn thin.",very_sad,anxiety
0252,"Somehow, my chest felt tight for hours for no clear reason",very_sad,anxiety
0253,"After a long silence, every ping made me jump a little the lecture ended and I couldn’t recall a single point and every step feels two steps back. I made tea and watched the steam fade.",very_sad,anxiety
0254,"To be real, I kept scanning the room for what might go wrong and I’m not sure how to keep going like this.",very_sad,anxiety
0255,tiny tasks felt huge and shaky and I feel worn thin.,very_sad,anxiety
0256,thoughts looped like a playlist I can’t stop,very_sad,anxiety
0257,"Early this morning, I felt on edge like a door half open and nothing seems to lift the weight.",very_sad,anxiety
